Image_Description,Link,Article_Title,Article_URL
Anonymous has claimed cyber attacks on Russian media and state websites in retaliation for the country's invasion of Ukraine,https://static.euronews.com/articles/stories/06/51/10/06/210x136_cmsv2_8851612a-3aad-5429-9e31-ef102fd5782f-6511006.jpg,Ukraine war: What part is hackers’ collective Anonymous playing in the war effort against Russia?,https://www.euronews.com/next/2022/02/28/ukraine-war-what-part-is-hackers-collective-anonymous-playing-in-the-war-effort-against-ru
Euronews,https://static.euronews.com/articles/stories/06/51/10/06/534x340_cmsv2_b771e6c4-6a79-5b5d-9559-47e9277ebd61-6511006.jpg,Ukraine war: What part is hackers’ collective Anonymous playing in the war effort against Russia?,https://www.euronews.com/next/2022/02/28/ukraine-war-what-part-is-hackers-collective-anonymous-playing-in-the-war-effort-against-ru
"As well as protecting against cyberattacks, Ukraine's 'IT army' would also target Russian cyberspace.",https://static.euronews.com/articles/stories/06/50/69/68/210x136_cmsv2_11ccd1a4-14ca-5cbd-967e-35e5c7d35ed1-6506968.jpg,Ukraine war: Ukrainians announce the launch of an 'IT army' to fight off Russian cyberattacks,https://www.euronews.com/next/2022/02/26/ukraine-war-ukrainians-announce-the-launch-of-an-it-army-to-fight-off-russian-cyberattacks
Cyber attacks can disrupt essential services and can undermine national security.,https://static.euronews.com/articles/stories/06/50/10/56/210x136_cmsv2_52688efb-d797-5bd7-9d26-055f92e7f2a6-6501056.jpg,Is Russia using cyberattacks in the war with Ukraine and could sanctions provoke more of them?,https://www.euronews.com/next/2022/02/24/russia-is-using-cyberattacks-in-the-war-with-ukraine-and-sanctions-may-increase-them
"The cyberattack affected state-owned banks and ATM services, as well as government websites.",https://static.euronews.com/articles/stories/06/47/99/02/210x136_cmsv2_da78f379-d08b-5611-99c3-6fe9126bdc32-6479902.jpg,Ukraine's defence ministry and two banks targeted in cyberattack,https://www.euronews.com/my-europe/2022/02/15/ukraine-s-defence-ministry-and-two-banks-targeted-in-cyberattack
Anonymous has claimed cyber attacks on Russian media and state websites in retaliation for the country's invasion of Ukraine,https://static.euronews.com/articles/stories/06/51/10/06/210x136_cmsv2_8851612a-3aad-5429-9e31-ef102fd5782f-6511006.jpg,Ukraine war: What part is hackers’ collective Anonymous playing in the war effort against Russia?,https://www.euronews.com/next/2022/02/28/ukraine-war-what-part-is-hackers-collective-anonymous-playing-in-the-war-effort-against-ru
Euronews,https://static.euronews.com/articles/stories/06/51/10/06/534x340_cmsv2_b771e6c4-6a79-5b5d-9559-47e9277ebd61-6511006.jpg,Ukraine war: What part is hackers’ collective Anonymous playing in the war effort against Russia?,https://www.euronews.com/next/2022/02/28/ukraine-war-what-part-is-hackers-collective-anonymous-playing-in-the-war-effort-against-ru
European Parliament votes to strengthen EU-wide cybersecurity rules,https://static.euronews.com/articles/stories/06/18/17/70/320x212_cmsv2_9aae16a3-9d58-5dae-b046-fa5f78a9e96b-6181770.jpg,European Parliament votes to strengthen EU-wide cybersecurity rules,https://www.euronews.com/my-europe/2021/10/28/european-parliament-votes-to-strengthen-eu-wide-cybersecurity-rules
The OMON base in Minsk's 120th Division Heroes Street that cyber-activists claim to have attacked with a drone,https://static.euronews.com/articles/stories/06/14/22/00/320x212_cmsv2_74142201-08d1-54f0-81db-15c7820041c8-6142200.jpg,Belarusian hacktivists claim drone attack on riot police base in Minsk,https://www.euronews.com/2021/10/13/belarusian-hacktivists-claim-drone-attack-on-riot-police-base-in-minsk
AP,https://static.euronews.com/articles/stories/06/14/22/00/808x539_cmsv2_2a86a751-c046-59c3-be25-1d662e55e92c-6142200.jpg,Belarusian hacktivists claim drone attack on riot police base in Minsk,https://www.euronews.com/2021/10/13/belarusian-hacktivists-claim-drone-attack-on-riot-police-base-in-minsk
